year,IBT_ag_m2,sp_elev,sp_code,elev_code
1965,0.0431696427563674,sylvestris_medium,sylvestris,medium
1966,0.181052432264513,sylvestris_medium,sylvestris,medium
1967,0.79662806871758,sylvestris_medium,sylvestris,medium
1968,2.36308992322082,sylvestris_medium,sylvestris,medium
1969,5.24160504258936,sylvestris_medium,sylvestris,medium
1970,10.8728168553305,sylvestris_medium,sylvestris,medium
1971,20.9115825957526,sylvestris_medium,sylvestris,medium
1972,33.3283848223679,sylvestris_medium,sylvestris,medium
1973,55.7676881861665,sylvestris_medium,sylvestris,medium
1974,76.7723098071339,sylvestris_medium,sylvestris,medium
1975,86.4527050239121,sylvestris_medium,sylvestris,medium
1976,126.618286172324,sylvestris_medium,sylvestris,medium
1977,198.606904167084,sylvestris_medium,sylvestris,medium
1978,248.338557438598,sylvestris_medium,sylvestris,medium
1979,275.954626596727,sylvestris_medium,sylvestris,medium
1980,263.094554610276,sylvestris_medium,sylvestris,medium
1981,249.37419582181,sylvestris_medium,sylvestris,medium
1982,224.276959865382,sylvestris_medium,sylvestris,medium
1983,265.363145494944,sylvestris_medium,sylvestris,medium
1984,265.037476366142,sylvestris_medium,sylvestris,medium
1985,320.709518749659,sylvestris_medium,sylvestris,medium
1986,271.882663762929,sylvestris_medium,sylvestris,medium
1987,222.67839485216,sylvestris_medium,sylvestris,medium
1988,233.521052697942,sylvestris_medium,sylvestris,medium
1989,227.658729406074,sylvestris_medium,sylvestris,medium
1990,261.536550415023,sylvestris_medium,sylvestris,medium
1991,283.8185025775,sylvestris_medium,sylvestris,medium
1992,219.765022863504,sylvestris_medium,sylvestris,medium
1993,200.242776050475,sylvestris_medium,sylvestris,medium
1994,163.348324272285,sylvestris_medium,sylvestris,medium
1995,82.8144168575475,sylvestris_medium,sylvestris,medium
1996,181.207149386267,sylvestris_medium,sylvestris,medium
1997,193.794033069476,sylvestris_medium,sylvestris,medium
1998,252.076152853135,sylvestris_medium,sylvestris,medium
1999,128.538959604531,sylvestris_medium,sylvestris,medium
2000,368.453098282795,sylvestris_medium,sylvestris,medium
2001,390.526527438453,sylvestris_medium,sylvestris,medium
2002,257.880639812585,sylvestris_medium,sylvestris,medium
2003,323.370710684019,sylvestris_medium,sylvestris,medium
2004,331.629999567439,sylvestris_medium,sylvestris,medium
2005,126.536179404636,sylvestris_medium,sylvestris,medium
2006,138.827531232051,sylvestris_medium,sylvestris,medium
2007,118.655976618434,sylvestris_medium,sylvestris,medium
2008,224.816201883332,sylvestris_medium,sylvestris,medium
2009,201.388708231178,sylvestris_medium,sylvestris,medium
2010,200.356707880688,sylvestris_medium,sylvestris,medium
2011,260.468465976592,sylvestris_medium,sylvestris,medium
2012,97.6633055590754,sylvestris_medium,sylvestris,medium
2013,275.581194643744,sylvestris_medium,sylvestris,medium
2014,174.424978020961,sylvestris_medium,sylvestris,medium
2015,123.979650196846,sylvestris_medium,sylvestris,medium
2016,105.120372375173,sylvestris_medium,sylvestris,medium
2017,131.44910777667,sylvestris_medium,sylvestris,medium
2018,195.134375967529,sylvestris_medium,sylvestris,medium
1969,9.5152168602182e-4,sylvestris_high,sylvestris,high
1970,0.332553154329414,sylvestris_high,sylvestris,high
1971,0.282458539115426,sylvestris_high,sylvestris,high
1972,0.527845338677269,sylvestris_high,sylvestris,high
1973,0.916820815167226,sylvestris_high,sylvestris,high
1974,1.5746694142082,sylvestris_high,sylvestris,high
1975,7.73056173381899,sylvestris_high,sylvestris,high
1976,8.55679138050503,sylvestris_high,sylvestris,high
1977,14.2683864826909,sylvestris_high,sylvestris,high
1978,23.7916840768649,sylvestris_high,sylvestris,high
1979,40.3285127755835,sylvestris_high,sylvestris,high
1980,36.7926990462844,sylvestris_high,sylvestris,high
1981,72.9274710033041,sylvestris_high,sylvestris,high
1982,112.424084414045,sylvestris_high,sylvestris,high
1983,140.612861772493,sylvestris_high,sylvestris,high
1984,151.141329693075,sylvestris_high,sylvestris,high
1985,196.430284391881,sylvestris_high,sylvestris,high
1986,223.482720723488,sylvestris_high,sylvestris,high
1987,296.591638751001,sylvestris_high,sylvestris,high
1988,297.414482293007,sylvestris_high,sylvestris,high
1989,326.226295040593,sylvestris_high,sylvestris,high
1990,333.792446846112,sylvestris_high,sylvestris,high
1991,333.508271113434,sylvestris_high,sylvestris,high
1992,383.835469766615,sylvestris_high,sylvestris,high
1993,403.753869361593,sylvestris_high,sylvestris,high
1994,358.235185669275,sylvestris_high,sylvestris,high
1995,69.8971150247371,sylvestris_high,sylvestris,high
1996,337.920293907913,sylvestris_high,sylvestris,high
1997,413.3528048124,sylvestris_high,sylvestris,high
1998,386.425207412223,sylvestris_high,sylvestris,high
1999,245.612034291457,sylvestris_high,sylvestris,high
2000,419.261965399627,sylvestris_high,sylvestris,high
2001,391.84305961625,sylvestris_high,sylvestris,high
2002,314.456843706444,sylvestris_high,sylvestris,high
2003,374.390770216833,sylvestris_high,sylvestris,high
2004,407.595009846786,sylvestris_high,sylvestris,high
2005,285.625006729538,sylvestris_high,sylvestris,high
2006,326.752496335296,sylvestris_high,sylvestris,high
2007,267.63619227392,sylvestris_high,sylvestris,high
2008,368.382135583602,sylvestris_high,sylvestris,high
2009,259.737372711552,sylvestris_high,sylvestris,high
2010,354.334607828625,sylvestris_high,sylvestris,high
2011,391.606309790548,sylvestris_high,sylvestris,high
2012,208.260035871728,sylvestris_high,sylvestris,high
2013,326.427725218079,sylvestris_high,sylvestris,high
2014,286.613733522699,sylvestris_high,sylvestris,high
2015,238.36680727488,sylvestris_high,sylvestris,high
2016,266.932272768818,sylvestris_high,sylvestris,high
2017,268.702534071255,sylvestris_high,sylvestris,high
2018,324.499581434592,sylvestris_high,sylvestris,high
1980,0.00152216401534616,halepensis_low,halepensis,low
1981,0.0428228384596961,halepensis_low,halepensis,low
1982,0.118427131414164,halepensis_low,halepensis,low
1983,0.809431636033544,halepensis_low,halepensis,low
1984,1.50106986863992,halepensis_low,halepensis,low
1985,3.00901717923575,halepensis_low,halepensis,low
1986,3.4277076883291002,halepensis_low,halepensis,low
1987,6.16046278546815,halepensis_low,halepensis,low
1988,10.2364480327778,halepensis_low,halepensis,low
1989,31.8917857257199,halepensis_low,halepensis,low
1990,76.4024497219929,halepensis_low,halepensis,low
1991,43.4318837541511,halepensis_low,halepensis,low
1992,71.0771022440993,halepensis_low,halepensis,low
1993,43.2711663982575,halepensis_low,halepensis,low
1994,39.607889334075,halepensis_low,halepensis,low
1995,16.7498323569302,halepensis_low,halepensis,low
1996,97.6534282657389,halepensis_low,halepensis,low
1997,136.973649959072,halepensis_low,halepensis,low
1998,50.1172701973166,halepensis_low,halepensis,low
1999,32.3503093324664,halepensis_low,halepensis,low
2000,28.1140196822451,halepensis_low,halepensis,low
2001,37.813925632046,halepensis_low,halepensis,low
2002,56.9996742209315,halepensis_low,halepensis,low
2003,40.764130326489,halepensis_low,halepensis,low
2004,123.84486641924,halepensis_low,halepensis,low
2005,37.8546080366371,halepensis_low,halepensis,low
2006,24.0820410765901,halepensis_low,halepensis,low
2007,32.7455167613971,halepensis_low,halepensis,low
2008,28.7274310206517,halepensis_low,halepensis,low
2009,41.9024671437451,halepensis_low,halepensis,low
2010,147.598989651263,halepensis_low,halepensis,low
2011,98.3237288494051,halepensis_low,halepensis,low
2012,4.99129056487366,halepensis_low,halepensis,low
2013,37.8688440273333,halepensis_low,halepensis,low
2014,8.60741532669482,halepensis_low,halepensis,low
2015,21.8238196211987,halepensis_low,halepensis,low
2016,19.7566427403227,halepensis_low,halepensis,low
2017,37.218696520132,halepensis_low,halepensis,low
2018,23.9806469687468,halepensis_low,halepensis,low
2019,14.1442150479459,halepensis_low,halepensis,low
2020,24.2588149619468,halepensis_low,halepensis,low
2021,16.8121807659879,halepensis_low,halepensis,low
2022,40.706174897313,halepensis_low,halepensis,low
1959,0.533359802832069,halepensis_high,halepensis,high
1960,2.79106675117953,halepensis_high,halepensis,high
1961,7.805505466631,halepensis_high,halepensis,high
1962,29.8255233488277,halepensis_high,halepensis,high
1963,64.6729967697091,halepensis_high,halepensis,high
1964,58.8307015714785,halepensis_high,halepensis,high
1965,53.6509468609008,halepensis_high,halepensis,high
1966,60.3724429703098,halepensis_high,halepensis,high
1967,98.8953807708631,halepensis_high,halepensis,high
1968,80.006280822895,halepensis_high,halepensis,high
1969,103.791126313267,halepensis_high,halepensis,high
1970,112.809703916336,halepensis_high,halepensis,high
1971,115.218288895593,halepensis_high,halepensis,high
1972,122.379115068017,halepensis_high,halepensis,high
1973,109.586651054678,halepensis_high,halepensis,high
1974,88.6826229226374,halepensis_high,halepensis,high
1975,98.6388178301218,halepensis_high,halepensis,high
1976,96.1075822762155,halepensis_high,halepensis,high
1977,69.9450600995241,halepensis_high,halepensis,high
1978,79.0893172495387,halepensis_high,halepensis,high
1979,74.6640110862919,halepensis_high,halepensis,high
1980,77.7656494558001,halepensis_high,halepensis,high
1981,18.3112764371114,halepensis_high,halepensis,high
1982,22.2039439395105,halepensis_high,halepensis,high
1983,32.9740826762541,halepensis_high,halepensis,high
1984,40.5682104213572,halepensis_high,halepensis,high
1985,31.631788062465102,halepensis_high,halepensis,high
1986,19.0317144089562,halepensis_high,halepensis,high
1987,24.4131879303879,halepensis_high,halepensis,high
1988,35.8594494258278,halepensis_high,halepensis,high
1989,63.1163113379029,halepensis_high,halepensis,high
1990,112.782959120249,halepensis_high,halepensis,high
1991,44.246576199268,halepensis_high,halepensis,high
1992,65.9825283134915,halepensis_high,halepensis,high
1993,59.3490899848944,halepensis_high,halepensis,high
1994,28.899730491255202,halepensis_high,halepensis,high
1995,17.1485776276653,halepensis_high,halepensis,high
1996,54.0825682625236,halepensis_high,halepensis,high
1997,108.506862653498,halepensis_high,halepensis,high
1998,90.2844014152939,halepensis_high,halepensis,high
1999,21.6028335537844,halepensis_high,halepensis,high
2000,43.2310471289393,halepensis_high,halepensis,high
2001,49.0317604737226,halepensis_high,halepensis,high
2002,84.1466913740038,halepensis_high,halepensis,high
2003,83.5908687732384,halepensis_high,halepensis,high
2004,106.218680991638,halepensis_high,halepensis,high
2005,19.6627455298506,halepensis_high,halepensis,high
2006,36.9978676005737,halepensis_high,halepensis,high
2007,34.6126403805404,halepensis_high,halepensis,high
2008,15.8987586386623,halepensis_high,halepensis,high
2009,43.1625250517003,halepensis_high,halepensis,high
2010,78.4813008964852,halepensis_high,halepensis,high
2011,90.8800297302947,halepensis_high,halepensis,high
2012,20.086230410045,halepensis_high,halepensis,high
2013,74.6820797477177,halepensis_high,halepensis,high
2014,24.0964017031496,halepensis_high,halepensis,high
2015,32.7244538519226,halepensis_high,halepensis,high
2016,13.4281142594466,halepensis_high,halepensis,high
2017,38.6194028087764,halepensis_high,halepensis,high
2018,49.9583778428628,halepensis_high,halepensis,high
2019,40.1099496595411,halepensis_high,halepensis,high
2020,38.4254169307951,halepensis_high,halepensis,high
2021,20.8841971645177,halepensis_high,halepensis,high
2022,32.2971366963157,halepensis_high,halepensis,high
1977,0.678333066838779,halepensis_medium,halepensis,medium
1978,2.72214211028557,halepensis_medium,halepensis,medium
1979,5.45845183640847,halepensis_medium,halepensis,medium
1980,5.32394072828262,halepensis_medium,halepensis,medium
1981,9.83161948377538,halepensis_medium,halepensis,medium
1982,12.4469975524105,halepensis_medium,halepensis,medium
1983,10.8556766752687,halepensis_medium,halepensis,medium
1984,23.7370233818869,halepensis_medium,halepensis,medium
1985,13.7662273967045,halepensis_medium,halepensis,medium
1986,23.7745897621259,halepensis_medium,halepensis,medium
1987,40.7291046405769,halepensis_medium,halepensis,medium
1988,66.1818273809313,halepensis_medium,halepensis,medium
1989,121.123387770319,halepensis_medium,halepensis,medium
1990,203.64635085702,halepensis_medium,halepensis,medium
1991,136.724461082779,halepensis_medium,halepensis,medium
1992,174.61887540006,halepensis_medium,halepensis,medium
1993,110.539353989614,halepensis_medium,halepensis,medium
1994,111.547479332439,halepensis_medium,halepensis,medium
1995,69.6395564938404,halepensis_medium,halepensis,medium
1996,218.970544779044,halepensis_medium,halepensis,medium
1997,256.01699535724,halepensis_medium,halepensis,medium
1998,101.1594745189,halepensis_medium,halepensis,medium
1999,58.7544590826902,halepensis_medium,halepensis,medium
2000,102.726556976055,halepensis_medium,halepensis,medium
2001,100.132039466788,halepensis_medium,halepensis,medium
2002,121.548576599144,halepensis_medium,halepensis,medium
2003,97.8636600088686,halepensis_medium,halepensis,medium
2004,179.919532944449,halepensis_medium,halepensis,medium
2005,54.5195663572042,halepensis_medium,halepensis,medium
2006,49.7057284254475,halepensis_medium,halepensis,medium
2007,81.1418105578285,halepensis_medium,halepensis,medium
2008,103.826765765756,halepensis_medium,halepensis,medium
2009,77.7334940967955,halepensis_medium,halepensis,medium
2010,133.653881940324,halepensis_medium,halepensis,medium
2011,105.633828543077,halepensis_medium,halepensis,medium
2012,15.007117524888,halepensis_medium,halepensis,medium
2013,42.3377738540979,halepensis_medium,halepensis,medium
2014,21.9353398665246,halepensis_medium,halepensis,medium
2015,34.0421151817648,halepensis_medium,halepensis,medium
2016,12.0483141341454,halepensis_medium,halepensis,medium
2017,46.0927051482851,halepensis_medium,halepensis,medium
2018,43.3510575426858,halepensis_medium,halepensis,medium
1952,3.50556253447333,pinaster_low,pinaster,low
1953,9.17471292874159,pinaster_low,pinaster,low
1954,31.9043673694551,pinaster_low,pinaster,low
1955,57.9612996920022,pinaster_low,pinaster,low
1956,96.028691133576,pinaster_low,pinaster,low
1957,113.081485304562,pinaster_low,pinaster,low
1958,114.121107309198,pinaster_low,pinaster,low
1959,177.224515063259,pinaster_low,pinaster,low
1960,210.453719909619,pinaster_low,pinaster,low
1961,78.1832395347171,pinaster_low,pinaster,low
1962,140.541254322743,pinaster_low,pinaster,low
1963,200.937913892177,pinaster_low,pinaster,low
1964,96.0737762418976,pinaster_low,pinaster,low
1965,56.3552659629231,pinaster_low,pinaster,low
1966,137.207732416192,pinaster_low,pinaster,low
1967,85.4044250437321,pinaster_low,pinaster,low
1968,80.0840740279532,pinaster_low,pinaster,low
1969,148.267099161469,pinaster_low,pinaster,low
1970,114.379105533518,pinaster_low,pinaster,low
1971,115.831909978556,pinaster_low,pinaster,low
1972,94.6351076050366,pinaster_low,pinaster,low
1973,67.4431359104377,pinaster_low,pinaster,low
1974,51.4023416232716,pinaster_low,pinaster,low
1975,52.6692508467771,pinaster_low,pinaster,low
1976,58.3405897416002,pinaster_low,pinaster,low
1977,95.5714309576708,pinaster_low,pinaster,low
1978,153.743224899503,pinaster_low,pinaster,low
1979,143.24700621463,pinaster_low,pinaster,low
1980,69.6704014044215,pinaster_low,pinaster,low
1981,24.7388302122455,pinaster_low,pinaster,low
1982,75.278111361569,pinaster_low,pinaster,low
1983,19.3805501977375,pinaster_low,pinaster,low
1984,81.4709771536123,pinaster_low,pinaster,low
1985,83.3534018517237,pinaster_low,pinaster,low
1986,94.1356658762251,pinaster_low,pinaster,low
1987,54.0284175862932,pinaster_low,pinaster,low
1988,20.7876759569975,pinaster_low,pinaster,low
1989,67.4390935913994,pinaster_low,pinaster,low
1990,80.2432523893506,pinaster_low,pinaster,low
1991,51.6710229789006,pinaster_low,pinaster,low
1992,73.3322314487348,pinaster_low,pinaster,low
1993,39.3585675572994,pinaster_low,pinaster,low
1994,29.9211505228513,pinaster_low,pinaster,low
1995,15.657914777453,pinaster_low,pinaster,low
1996,49.5863402198346,pinaster_low,pinaster,low
1997,94.2515258513509,pinaster_low,pinaster,low
1998,112.64186162372,pinaster_low,pinaster,low
