prec,modelo,type_value,value,name_modelo,type
0,mprecrat3,peffect,0,Prec (Log-normal),univariate
0,mprecrat3,predicted,0,Prec (Log-normal),univariate
1,mprecrat3,peffect,1.0107376387748627e-12,Prec (Log-normal),univariate
1,mprecrat3,predicted,3.271188896805441e-13,Prec (Log-normal),univariate
2,mprecrat3,peffect,1.9550998208859532e-10,Prec (Log-normal),univariate
2,mprecrat3,predicted,6.327557796284864e-11,Prec (Log-normal),univariate
3,mprecrat3,peffect,3.286429443345884e-9,Prec (Log-normal),univariate
3,mprecrat3,predicted,1.0636322516136332e-9,Prec (Log-normal),univariate
4,mprecrat3,peffect,2.168412953174964e-8,Prec (Log-normal),univariate
4,mprecrat3,predicted,7.0179323535561325e-9,Prec (Log-normal),univariate
5,mprecrat3,peffect,8.771562887746892e-8,Prec (Log-normal),univariate
5,mprecrat3,predicted,2.8388612460112058e-8,Prec (Log-normal),univariate
6,mprecrat3,peffect,2.632663337243401e-7,Prec (Log-normal),univariate
6,mprecrat3,predicted,8.520449568155088e-8,Prec (Log-normal),univariate
7,mprecrat3,peffect,6.470286903111653e-7,Prec (Log-normal),univariate
7,mprecrat3,predicted,2.0940677248607966e-7,Prec (Log-normal),univariate
8,mprecrat3,peffect,1.378978863750664e-6,Prec (Log-normal),univariate
8,mprecrat3,predicted,4.4629784970690484e-7,Prec (Log-normal),univariate
9,mprecrat3,peffect,2.6423616694067927e-6,Prec (Log-normal),univariate
9,mprecrat3,predicted,8.55183761117768e-7,Prec (Log-normal),univariate
10,mprecrat3,peffect,4.663677079327168e-6,Prec (Log-normal),univariate
10,mprecrat3,predicted,1.5093698003245346e-6,Prec (Log-normal),univariate
11,mprecrat3,peffect,7.711174708650583e-6,Prec (Log-normal),univariate
11,mprecrat3,predicted,2.495673270745131e-6,Prec (Log-normal),univariate
12,mprecrat3,peffect,1.2092299573028812e-5,Prec (Log-normal),univariate
12,mprecrat3,predicted,3.913596821038936e-6,Prec (Log-normal),univariate
13,mprecrat3,peffect,1.815044908115633e-5,Prec (Log-normal),univariate
13,mprecrat3,predicted,5.874278866104076e-6,Prec (Log-normal),univariate
14,mprecrat3,peffect,2.6261320909181933e-5,Prec (Log-normal),univariate
14,mprecrat3,predicted,8.499311599564923e-6,Prec (Log-normal),univariate
15,mprecrat3,peffect,3.682906232618719e-5,Prec (Log-normal),univariate
15,mprecrat3,predicted,1.1919494747144204e-5,Prec (Log-normal),univariate
16,mprecrat3,peffect,5.028237538800342e-5,Prec (Log-normal),univariate
16,mprecrat3,predicted,1.6273575037099997e-5,Prec (Log-normal),univariate
17,mprecrat3,peffect,6.707068824263139e-5,Prec (Log-normal),univariate
17,mprecrat3,predicted,2.1707007067267792e-5,Prec (Log-normal),univariate
18,mprecrat3,peffect,8.766046877728046e-5,Prec (Log-normal),univariate
18,mprecrat3,predicted,2.837076024007384e-5,Prec (Log-normal),univariate
19,mprecrat3,peffect,1.125317310594193e-4,Prec (Log-normal),univariate
19,mprecrat3,predicted,3.642018809411963e-5,Prec (Log-normal),univariate
20,mprecrat3,peffect,1.4217476574743571e-4,Prec (Log-normal),univariate
20,mprecrat3,predicted,4.601397012212394e-5,Prec (Log-normal),univariate
21,mprecrat3,peffect,1.770871114159177e-4,Prec (Log-normal),univariate
21,mprecrat3,predicted,5.7313131559369123e-5,Prec (Log-normal),univariate
22,mprecrat3,peffect,2.1777077338249124e-4,Prec (Log-normal),univariate
22,mprecrat3,predicted,7.048014327447208e-5,Prec (Log-normal),univariate
23,mprecrat3,peffect,2.6472968921151317e-4,Prec (Log-normal),univariate
23,mprecrat3,predicted,8.567810149557025e-5,Prec (Log-normal),univariate
24,mprecrat3,peffect,3.184674348842283e-4,Prec (Log-normal),univariate
24,mprecrat3,predicted,1.0306998542669752e-4,Prec (Log-normal),univariate
25,mprecrat3,peffect,3.794851621099341e-4,Prec (Log-normal),univariate
25,mprecrat3,predicted,1.228179896714956e-4,Prec (Log-normal),univariate
26,mprecrat3,peffect,4.4827975498257575e-4,Prec (Log-normal),univariate
26,mprecrat3,predicted,1.4508292764669678e-4,Prec (Log-normal),univariate
27,mprecrat3,peffect,5.253421928377409e-4,Prec (Log-normal),univariate
27,mprecrat3,predicted,1.7002370173107087e-4,Prec (Log-normal),univariate
28,mprecrat3,peffect,6.111561054895567e-4,Prec (Log-normal),univariate
