year,npp,npp_qc,gpp,site_code,sp_elev,sp_code,elev_code,elev,Specie
2001,594.3000000000001,7,962.7,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2001,245,16,403.7000000000001,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2001,503.8,11,748.1,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2001,712.7,7,1176.4,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2001,714.9000000000001,11,1244.9,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2001,748.6,7,1267,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2001,591.1,7,876.2,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2001,665.3000000000001,11,1107.5,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2001,783.8000000000001,5,1458.2,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2001,733.7,16,1330.5,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2001,885.2,5,1375.5,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2001,820.5,16,1297.8000000000002,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2001,625.9000000000001,33,1124.7,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2002,684.4000000000001,3,1078.3,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2002,311,15,484.9,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2002,508.2000000000001,11,752.8000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2002,754.2,3,1219.8,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2002,780,3,1300.2,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2002,790.6,5,1303.7,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2002,567.5,3,832.4000000000001,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2002,705,3,1149.9,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2002,821.1,3,1517,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2002,821.4000000000001,5,1425.2,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2002,965.4,14,1483.1,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2002,858.7,18,1324.3000000000002,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2002,763,16,1313,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2003,554.1,5,922.6,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2003,267.6,14,434.5,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2003,519.2,9,782.4000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2003,662.2,5,1118.5,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2003,651.6,17,1180.6,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2003,671.4000000000001,11,1175.2,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2003,548.1,7,820.7,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2003,611,0,1033.8,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2003,692.5,14,1361.4,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
