Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7841	6	479.9097	479.5683	1.018738	0.4385901	
Model:	mcombrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9988132	0.3495846	1	1.895563	0	1	0.3265306	
Topt	5.460629	5	6.623779	7.012456	5	20	15	
Tb	0.4632043	0.3181789	0.6356026	0.5885563	0.01	5	4.99	
Pa	0.7712107	0.2685453	0.8	1.463615	0.2	0.8	0.6	
Pd	4.449138	0.01	5	48.2476	0.01	5	4.99	
Pc	0.008491811	0.002700461	0.01	0.04074342	1e-04	0.01	0.0099	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
prec	prec	
tmed	tmed	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Topt	Tb	Pa	Pd	Pc
MR	3.593157	-5.426252	0.312079	-1.454578	-2.317222	-0.002071423	
Topt	-5.426252	49.17454	-3.739597	-4.189756	-17.56737	-0.01077553	
Tb	0.312079	-3.739597	0.3463985	0.2409647	-0.9428599	-0.002087341	
Pa	-1.454578	-4.189756	0.2409647	2.142169	-1.78919	-0.001599402	
Pd	-2.317222	-17.56737	-0.9428599	-1.78919	2327.831	1.913808	
Pc	-0.002071423	-0.01077553	-0.002087341	-0.001599402	1.913808	0.001660026	

Source data
rat	tmed	prec	predicted	
0.4759616	11.81506	559.2	0.1849424	
0.3003152	11.736	635.5	0.1929581	
0.3938742	11.01136	759.1	0.2430774	
0.3736255	10.63505	561.4	0.2633429	
0.1600306	10.74701	308.2	0.1912671	
0.1650547	10.92373	499.1	0.2356144	
0.1405044	10.65338	426.4	0.2415028	
0.2793442	10.13953	728.2	0.3126373	
0.2575962	11.37159	889.7	0.2193063	
0.2420352	10.44594	1428.5	0.2889511	
0.2945809	10.68331	609.9	0.2629893	
0.1342082	10.97178	552.5	0.2377877	
0.2948654	10.09672	584.9	0.3096347	
0.1885472	10.88113	484	0.2365129	
0.1472617	11.48234	368.1	0.1748845	
0.1241091	10.91439	590.5	0.2446001	
0.1573864	11.61667	368.8	0.1681197	
0.2249388	9.9215	1022.5	0.3353135	
0.6260474	10.40382	555.4	0.2810824	
0.4121322	10.34639	631.3	0.2912321	
0.5715017	9.428958	758.4	0.3816059	
0.5446219	9.050484	565.1	0.4096123	
0.4744601	9.207542	312.2	0.2978801	
0.5349582	9.288868	502.9	0.3749909	
0.3405907	8.983948	437	0.3877337	
0.5210497	8.392047	716.7	0.4958781	
0.4548816	9.816253	887.9	0.3447677	
0.5954203	8.801879	1421.6	0.4528812	
0.5923556	8.94437	601.7	0.4251551	
0.4001922	9.426972	561.4	0.3702556	
0.4739078	8.407901	576.1	0.4826385	
0.4527148	9.156835	494.8	0.3866207	
0.4141188	9.872912	359.5	0.2756993	
0.4945938	9.220841	619.1	0.3970141	
0.4601859	10.06176	364.9	0.2639057	
0.5061606	8.12988	1009.9	0.5320983	
0.1543426	15.39656	208.4	0.02950994	
0.1832787	15.09243	217.7	0.03438951	
0.1523323	14.97087	213.4	0.03480872	
0.3161728	14.6502	319	0.05918968	
0.1251806	14.48524	101.8	0.01286586	
0.08662605	15.12706	260.6	0.04212987	
0.1073976	14.68435	167.7	0.02698658	
0.1177354	14.63184	256.5	0.0483759	
0.1325189	15.36337	325.7	0.04809798	
0.4343702	14.5268	436.6	0.07419334	
0.2418193	15.04664	203.2	0.03182783	
0.01669328	15.13608	207.8	0.03190017	
0.1009567	14.43493	181.3	0.032801	
0.03109615	15.50237	142.9	0.01624017	
0.1053782	15.65799	223.7	0.02981724	
0.1208357	15.34972	283	0.04274107	
0.1397098	15.58787	140.1	0.01531537	
0.08104308	14.57152	337.8	0.06338174	
