Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-234.155	3	474.4065	474.3101	1.009913	0.2775021	
Model:	mprecrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.3176143	0.1016366	0.54233	0.2383976	0	1	0.4444444	
Popt	999.9969	453.9993	1000	1779.562	300	1000	700	
Pb	0.9339295	0.4389469	2.381769	1.228132	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Popt	Pb
MR	0.05683342	287.7464	0.115321	
Popt	287.7464	3166841	2002.931	
Pb	0.115321	2002.931	1.508309	

Source data
rat	prec	predicted	
0.4759616	559.2	0.2616921	
0.3003152	635.5	0.2823156	
0.3938742	759.1	0.30408	
0.3736255	561.4	0.2623754	
0.1600306	308.2	0.143552	
0.1650547	499.1	0.2408052	
0.1405044	426.4	0.2094217	
0.2793442	728.2	0.2998159	
0.2575962	889.7	0.3151373	
0.2420352	1428.5	0.2952818	
0.2945809	609.9	0.2760787	
0.1342082	552.5	0.2595769	
0.2948654	584.9	0.2693347	
0.1885472	484	0.2348554	
0.1472617	368.1	0.1791604	
0.1241091	590.5	0.2709033	
0.1573864	368.8	0.1795504	
0.2249388	1022.5	0.3175241	
0.6260474	555.4	0.2604988	
0.4121322	631.3	0.2813372	
0.5715017	758.4	0.3039912	
0.5446219	565.1	0.2635122	
0.4744601	312.2	0.1460579	
0.5349582	502.9	0.2422569	
0.3405907	437	0.2144337	
0.5210497	716.7	0.2980421	
0.4548816	887.9	0.315051	
0.5954203	1421.6	0.295863	
0.5923556	601.7	0.2739395	
0.4001922	561.4	0.2623754	
0.4739078	576.1	0.2668007	
0.4527148	494.8	0.2391405	
0.4141188	359.5	0.1743167	
0.4945938	619.1	0.278396	
0.4601859	364.9	0.1773692	
0.5061606	1009.9	0.3175966	
0.1543426	208.4	0.07754919	
0.1832787	217.7	0.0837905	
0.1523323	213.4	0.08090049	
0.3161728	319	0.1502792	
0.1251806	101.8	0.0159341	
0.08662605	260.6	0.1126382	
0.1073976	167.7	0.0510684	
0.1177354	256.5	0.1099018	
0.1325189	325.7	0.154389	
0.4343702	436.6	0.2142473	
0.2418193	203.2	0.07407754	
0.01669328	207.8	0.07714783	
0.1009567	181.3	0.05969868	
0.03109615	142.9	0.03626583	
0.1053782	223.7	0.08783147	
0.1208357	283	0.1274109	
0.1397098	140.1	0.03469205	
0.08104308	337.8	0.1616811	
0.04561179	104.8	0.01718534	
0.09793627	199.5	0.07161789	
0.06287278	240	0.09882326	
0.1351467	303.7	0.1407134	
0.09732386	361.6	0.1755082	
0.1655779	330.5	0.1573021	
0.1609994	327.3	0.1553629	
0.1874337	348.6	0.1680426	
0.0406339	144.9	0.03740365	
0.07405498	327.7	0.155606	
0.05920739	332.5	0.1585081	
0.03349928	265.6	0.1159634	
0.09358744	358.1	0.1735192	
0.1480221	484.3	0.2349764	
0.1508633	330.9	0.1575437	
0.04389473	290	0.1319518	
0.1161283	215.9	0.08257998	
0.04617053	222.2	0.08682054	
0.07283431	214.1	0.08137052	
0.03174495	274	0.121516	
0.08635824	171.4	0.05338707	
0.08286346	395.5	0.1939481	
0.07499991	204.7	0.07507733	
0.07621066	275.8	0.1226998	
0.04650233	196.6	0.06969723	
0.07267583	254.4	0.1084973	
0.1684874	202.9	0.07387776	
0.1775987	222.2	0.08682055	
0.1766173	199	0.07128627	
0.2561497	323.2	0.1528613	
0.08581704	107.3	0.01825987	
0.08165883	266.1	0.1162952	
0.1181447	171.8	0.05363914	
0.1629166	260.9	0.1128381	
0.1210237	320.7	0.1513267	
0.1912346	436.9	0.2143871	
0.1455412	203.9	0.07454394	
0.02651434	211.9	0.07989394	
0.05568562	176.2	0.05642892	
0.03503488	142.3	0.03592668	
0.05777684	229.5	0.09174288	
0.02008387	296	0.1358104	
0.07143941	143.1	0.03637911	
0.06278213	331.5	0.1579057	
0.1573845	366.4	0.1782104	
0.09247242	344.7	0.1657618	
0.1796374	354.1	0.1712271	
0.1271469	327.9	0.1557274	
0.04003083	147.1	0.03866794	
0.1220973	370.9	0.1807168	
0.05457975	318.7	0.150094	
0.09209923	298.7	0.1375361	
0.08777828	476.6	0.2318326	
0.147539	561.7	0.2624682	
0.1625557	271.4	0.1198023	
0.04442081	276.6	0.1232251	
0.1986661	382	0.1867861	
0.08226787	258.1	0.1109707	
0.07064392	213.9	0.08123621	
0.03355328	313.9	0.1471179	
0.07154471	200	0.0719497	
0.09808652	448.9	0.2198809	
0.04748416	267.3	0.1170908	
0.1259869	321.5	0.1518185	
0.05763474	199.8	0.07181695	
0.1068164	359.4	0.1742598	
0.1348452	335.1	0.1600688	
0.149858	348.1	0.1677512	
0.1437259	338	0.1618002	
0.04349623	141.1	0.0352515	
0.09018941	353.4	0.1708239	
0.07338176	322.3	0.1523097	
0.04840161	285.4	0.1289724	
0.1039761	446.3	0.2187069	
0.1173053	541	0.2558245	
0.1305473	292.8	0.1337565	
0.03379989	277.9	0.1240779	
0.1174534	326.3	0.1547545	
0.05003962	252.3	0.1070908	
0.09789741	218.7	0.08446342	
0.03536019	304.8	0.1414092	
0.04882452	199.1	0.07135257	
0.07868437	445.6	0.2183893	
0.04198474	252.4	0.1071578	
0.09480179	323.4	0.1529838	
0.07480113	202.2	0.07341183	
0.26936	360.2	0.1747145	
0.189034	341.6	0.1639356	
0.3093132	355.5	0.1720316	
0.2482097	326.3	0.1547545	
0.04001177	147.8	0.03907293	
0.1178683	362.9	0.176243	
0.0556492	322	0.1521256	
0.1127203	335.5	0.1603082	
0.1548122	532	0.2527787	
0.2486419	666.6	0.2890356	
0.3110653	305.6	0.1419144	
0.0837598	334.9	0.159949	
0.228604	425	0.2087484	
0.1205257	333.6	0.1591693	
0.1291197	260.8	0.1127715	
0.06625869	382.1	0.18684	
0.09849051	207.7	0.07708096	
0.5828131	368.2	0.1792161	
0.3738774	349.9	0.1687987	
0.5811849	390.2	0.1911653	
0.5059657	373.1	0.1819325	
0.07626182	163	0.04815906	
0.2310098	373.2	0.1819876	
0.1078383	333.4	0.1590492	
0.1626592	376.8	0.1839629	
0.29091	612.7	0.2767931	
0.4185128	799.9	0.3086669	
0.478777	353.3	0.1707662	
0.2128957	371.2	0.1808829	
0.4040281	454	0.2221575	
0.197504	385.2	0.1885057	
0.2710632	295.9	0.1357464	
0.1525367	444.8	0.2180255	
0.1960562	231.9	0.09336186	
0.3262517	506.9	0.2437653	
0.138568	279.3	0.1249948	
0.2202332	318.8	0.1501558	
0.1085746	359	0.1740321	
0.1229677	336.2	0.1607267	
0.1445175	350.7	0.1692629	
0.127417	340.7	0.1634032	
0.04128587	143.3	0.0364925	
0.09253699	355.1	0.171802	
0.09946053	322.9	0.1526775	
0.0596355	297.7	0.1368977	
0.1932361	458.8	0.2242687	
0.2550653	572.6	0.265769	
0.237985	302.1	0.1396993	
0.07283805	288.3	0.1308528	
0.1092085	335.8	0.1604876	
0.06899374	270.5	0.119208	
0.09069465	228.8	0.09127069	
0.04204381	323.4	0.1529838	
0.1004605	201.1	0.07268034	
0.0970911	452.6	0.221536	
0.06027039	256.5	0.1099018	
0.1406959	322.7	0.1525549	
0.1143764	203.9	0.07454393	
0.07969127	358.8	0.1739182	
0.0690587	335.6	0.160368	
0.09859162	351.5	0.1697264	
0.06142529	346.2	0.1666412	
0.01988913	144.3	0.03706113	
0.0460038	355.8	0.1722037	
0.03301357	320.7	0.1513267	
