Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6237	6	479.5889	479.2474	0.9899852	0.5082625	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5964771	0.208767	0.9736829	0.6390448	0	1	0.1984127	
Ta	0.285934	0	0.6144044	0.4863492	0	1	1	
k	-1.560809	-2	0.01471932	2.874149	-2	2	4	
Topt	9.889263	0	11.40366	2.291387	0	20	20	
Popt	851.2659	300	1000	2000.854	300	1000	700	
Pb	1.176034	0.3998515	5	2.457578	0	5	4	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Ta	k	Topt	Popt	Pb
MR	0.4083783	-0.2072607	0.8557874	-1.208103	152.1343	0.1431031	
Ta	-0.2072607	0.2365355	-0.8492948	0.5822797	151.6373	-0.1650728	
k	0.8557874	-0.8492948	8.260732	-3.106138	-54.75163	0.3036523	
Topt	-1.208103	0.5822797	-3.106138	5.250456	430.1867	0.2733983	
Popt	152.1343	151.6373	-54.75163	430.1867	4003415	4110.489	
Pb	0.1431031	-0.1650728	0.3036523	0.2733983	4110.489	6.039691	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2001	sylvestris	medium	sylvestris_medium	0.4759616	559.2	11.81506	P. sylvestris	0.1788517	
2002	sylvestris	medium	sylvestris_medium	0.3003152	635.5	11.736	P. sylvestris	0.187265	
2003	sylvestris	medium	sylvestris_medium	0.3938742	759.1	11.01136	P. sylvestris	0.2324296	
2004	sylvestris	medium	sylvestris_medium	0.3736255	561.4	10.63505	P. sylvestris	0.255384	
2005	sylvestris	medium	sylvestris_medium	0.1600306	308.2	10.74701	P. sylvestris	0.1783505	
2006	sylvestris	medium	sylvestris_medium	0.1650547	499.1	10.92373	P. sylvestris	0.2176122	
2007	sylvestris	medium	sylvestris_medium	0.1405044	426.4	10.65338	P. sylvestris	0.2269046	
2008	sylvestris	medium	sylvestris_medium	0.2793442	728.2	10.13953	P. sylvestris	0.3394375	
2009	sylvestris	medium	sylvestris_medium	0.2575962	889.7	11.37159	P. sylvestris	0.2087392	
2010	sylvestris	medium	sylvestris_medium	0.2420352	1428.5	10.44594	P. sylvestris	0.2690423	
2011	sylvestris	medium	sylvestris_medium	0.2945809	609.9	10.68331	P. sylvestris	0.2557066	
2012	sylvestris	medium	sylvestris_medium	0.1342082	552.5	10.97178	P. sylvestris	0.2214476	
2013	sylvestris	medium	sylvestris_medium	0.2948654	584.9	10.09672	P. sylvestris	0.3319926	
2014	sylvestris	medium	sylvestris_medium	0.1885472	484	10.88113	P. sylvestris	0.2185441	
2015	sylvestris	medium	sylvestris_medium	0.1472617	368.1	11.48234	P. sylvestris	0.1576585	
2016	sylvestris	medium	sylvestris_medium	0.1241091	590.5	10.91439	P. sylvestris	0.2306693	
2017	sylvestris	medium	sylvestris_medium	0.1573864	368.8	11.61667	P. sylvestris	0.1533385	
2018	sylvestris	medium	sylvestris_medium	0.2249388	1022.5	9.9215	P. sylvestris	0.3735941	
2001	sylvestris	high	sylvestris_high	0.6260474	555.4	10.40382	P. sylvestris	0.2830284	
2002	sylvestris	high	sylvestris_high	0.4121322	631.3	10.34639	P. sylvestris	0.300735	
2003	sylvestris	high	sylvestris_high	0.5715017	758.4	9.428958	P. sylvestris	0.4546884	
2004	sylvestris	high	sylvestris_high	0.5446219	565.1	9.050484	P. sylvestris	0.4761248	
2005	sylvestris	high	sylvestris_high	0.4744601	312.2	9.207542	P. sylvestris	0.3386437	
2006	sylvestris	high	sylvestris_high	0.5349582	502.9	9.288868	P. sylvestris	0.4311677	
2007	sylvestris	high	sylvestris_high	0.3405907	437	8.983948	P. sylvestris	0.4369132	
2008	sylvestris	high	sylvestris_high	0.5210497	716.7	8.392047	P. sylvestris	0.552996	
2009	sylvestris	high	sylvestris_high	0.4548816	887.9	9.816253	P. sylvestris	0.3953822	
2010	sylvestris	high	sylvestris_high	0.5954203	1421.6	8.801879	P. sylvestris	0.4824159	
2011	sylvestris	high	sylvestris_high	0.5923556	601.7	8.94437	P. sylvestris	0.4951391	
2012	sylvestris	high	sylvestris_high	0.4001922	561.4	9.426972	P. sylvestris	0.4294142	
2013	sylvestris	high	sylvestris_high	0.4739078	576.1	8.407901	P. sylvestris	0.5281659	
2014	sylvestris	high	sylvestris_high	0.4527148	494.8	9.156835	P. sylvestris	0.4436916	
2015	sylvestris	high	sylvestris_high	0.4141188	359.5	9.872912	P. sylvestris	0.2952461	
2016	sylvestris	high	sylvestris_high	0.4945938	619.1	9.220841	P. sylvestris	0.468038	
2017	sylvestris	high	sylvestris_high	0.4601859	364.9	10.06176	P. sylvestris	0.2738967	
2018	sylvestris	high	sylvestris_high	0.5061606	1009.9	8.12988	P. sylvestris	0.564796	
2001	halepensis	low	halepensis_low	0.1543426	208.4	15.39656	P. halepensis	0.08339255	
2002	halepensis	low	halepensis_low	0.1832787	217.7	15.09243	P. halepensis	0.08714496	
2003	halepensis	low	halepensis_low	0.1523323	213.4	14.97087	P. halepensis	0.08544858	
2004	halepensis	low	halepensis_low	0.3161728	319	14.6502	P. halepensis	0.1205706	
2005	halepensis	low	halepensis_low	0.1251806	101.8	14.48524	P. halepensis	0.03346337	
2006	halepensis	low	halepensis_low	0.08662605	260.6	15.12706	P. halepensis	0.1028403	
2007	halepensis	low	halepensis_low	0.1073976	167.7	14.68435	P. halepensis	0.06578191	
2008	halepensis	low	halepensis_low	0.1177354	256.5	14.63184	P. halepensis	0.1015277	
2009	halepensis	low	halepensis_low	0.1325189	325.7	15.36337	P. halepensis	0.1222219	
2010	halepensis	low	halepensis_low	0.4343702	436.6	14.5268	P. halepensis	0.1454251	
2011	halepensis	low	halepensis_low	0.2418193	203.2	15.04664	P. halepensis	0.08128425	
2012	halepensis	low	halepensis_low	0.01669328	207.8	15.13608	P. halepensis	0.08316724	
2013	halepensis	low	halepensis_low	0.1009567	181.3	14.43493	P. halepensis	0.07198115	
2014	halepensis	low	halepensis_low	0.03109615	142.9	15.50237	P. halepensis	0.05395239	
2015	halepensis	low	halepensis_low	0.1053782	223.7	15.65799	P. halepensis	0.0894497	
2016	halepensis	low	halepensis_low	0.1208357	283	15.34972	P. halepensis	0.110067	
2017	halepensis	low	halepensis_low	0.1397098	140.1	15.58787	P. halepensis	0.05258221	
2018	halepensis	low	halepensis_low	0.08104308	337.8	14.57152	P. halepensis	0.1254467	
2019	halepensis	low	halepensis_low	0.04561179	104.8	15.32993	P. halepensis	0.03492994	
2020	halepensis	low	halepensis_low	0.09793627	199.5	15.80108	P. halepensis	0.07969806	
2021	halepensis	low	halepensis_low	0.06287278	240	15.51106	P. halepensis	0.09557666	
2022	halepensis	low	halepensis_low	0.1351467	303.7	16.53306	P. halepensis	0.116173	
2001	halepensis	high	halepensis_high	0.09732386	361.6	13.31781	P. halepensis	0.1323899	
2002	halepensis	high	halepensis_high	0.1655779	330.5	13.11083	P. halepensis	0.1254062	
2003	halepensis	high	halepensis_high	0.1609994	327.3	12.85564	P. halepensis	0.1255354	
2004	halepensis	high	halepensis_high	0.1874337	348.6	12.68337	P. halepensis	0.1318776	
2005	halepensis	high	halepensis_high	0.0406339	144.9	12.70888	P. halepensis	0.05656486	
2006	halepensis	high	halepensis_high	0.07405498	327.7	12.9846	P. halepensis	0.125106	
2007	halepensis	high	halepensis_high	0.05920739	332.5	12.51785	P. halepensis	0.1289407	
2008	halepensis	high	halepensis_high	0.03349928	265.6	12.51045	P. halepensis	0.1087288	
2009	halepensis	high	halepensis_high	0.09358744	358.1	13.48725	P. halepensis	0.1312357	
2010	halepensis	high	halepensis_high	0.1480221	484.3	12.65853	P. halepensis	0.1569961	
2011	halepensis	high	halepensis_high	0.1508633	330.9	12.93468	P. halepensis	0.1261397	
2012	halepensis	high	halepensis_high	0.04389473	290	12.90525	P. halepensis	0.1146555	
2013	halepensis	high	halepensis_high	0.1161283	215.9	12.39118	P. halepensis	0.09062662	
2014	halepensis	high	halepensis_high	0.04617053	222.2	13.19346	P. halepensis	0.09011145	
2015	halepensis	high	halepensis_high	0.07283431	214.1	13.34513	P. halepensis	0.08661938	
2016	halepensis	high	halepensis_high	0.03174495	274	13.01616	P. halepensis	0.109194	
2017	halepensis	high	halepensis_high	0.08635824	171.4	13.70839	P. halepensis	0.06781646	
2018	halepensis	high	halepensis_high	0.08286346	395.5	12.15359	P. halepensis	0.1476762	
2019	halepensis	high	halepensis_high	0.07499991	204.7	13.21725	P. halepensis	0.0829666	
2020	halepensis	high	halepensis_high	0.07621066	275.8	13.56741	P. halepensis	0.1086135	
2021	halepensis	high	halepensis_high	0.04650233	196.6	13.33447	P. halepensis	0.07935889	
2022	halepensis	high	halepensis_high	0.07267583	254.4	14.66723	P. halepensis	0.1007957	
2001	halepensis	medium	halepensis_medium	0.1684874	202.9	14.31136	P. halepensis	0.08129874	
2002	halepensis	medium	halepensis_medium	0.1775987	222.2	14.03289	P. halepensis	0.08918542	
2003	halepensis	medium	halepensis_medium	0.1766173	199	13.75783	P. halepensis	0.07994125	
